,map,res_exp3
879,BEL1998,40091999722.0
880,BEL1999,39235930438.0
881,BEL2000,41178122923.0
882,BEL2001,37805746557.0
883,BEL2002,40675379812.0
884,BEL2003,48813100025.0
885,BEL2004,64046159944.0
886,BEL2005,74145300171.0
887,BEL2006,91560229438.0
888,BEL2007,104247014317.0
889,BEL2008,115067567458.0
890,BEL2009,76907541327.0
891,BEL2010,95529185859.0
892,BEL2011,125347444852.0
893,BEL2012,115114281408.0
894,BEL2013,121755910360.0
895,BEL2014,116797042830.0
896,BEL2015,88609413227.0
897,BEL2016,79293883141.0
898,BEN1962,1529387.0994262695
899,BEN1963,1154760.7600097656
900,BEN1964,1163942.802307129
901,BEN1965,1190908.4137573242
902,BEN1966,1512762.1631469727
903,BEN1967,3050234.152191162
904,BEN1968,2850888.9277648926
905,BEN1969,8317850.780532837
906,BEN1970,9196792.514312744
907,BEN1971,13704588.883163454
908,BEN1972,12241724.261085508
909,BEN1973,22622979.81674194
910,BEN1974,15581761.730895996
911,BEN1975,7840563.512252808
912,BEN1976,5677310.545654296
913,BEN1977,14969712.748779297
914,BEN1978,29639604.537353516
915,BEN1979,21662145.030029297
916,BEN1980,29296921.498168945
917,BEN1981,7781806.622680664
918,BEN1982,11241814.104858398
919,BEN1983,46628606.140625
920,BEN1984,64327708.51269531
921,BEN1985,106280122.8591919
922,BEN1986,74051792.57751465
923,BEN1987,41431015.38079834
924,BEN1988,24449239.84927368
925,BEN1989,17804986.614074707
926,BEN1990,30284766.0
927,BEN1991,26129082.0
928,BEN1992,9951310.0
929,BEN1993,21279254.0
930,BEN1994,21583790.0
931,BEN1995,51033902.0
