,oil_rents,map
454,0.0159867455597533,EMU2001
455,0.0185378376859033,EMU2002
456,0.0178781000775689,EMU2003
457,0.020114856683298998,EMU2004
458,0.0277064012485615,EMU2005
459,0.0298679517023564,EMU2006
460,0.0300439403178056,EMU2007
461,0.0352000499688546,EMU2008
462,0.0182915407348475,EMU2009
463,0.0271182665645141,EMU2010
464,0.0399881590590996,EMU2011
465,0.0425042724951364,EMU2012
466,0.0375696041187541,EMU2013
467,0.0339302718143457,EMU2014
468,0.0156770555046258,EMU2015
469,0.00975744957545781,EMU2016
470,0.0141419615208094,EMU2017
471,,EMU2018
472,,ECS1960
473,,ECS1961
474,,ECS1962
475,,ECS1963
476,,ECS1964
477,,ECS1965
478,,ECS1966
479,,ECS1967
480,,ECS1968
481,,ECS1969
482,0.0017093449857940599,ECS1970
483,0.0022825355912896,ECS1971
484,0.00303732749754848,ECS1972
485,0.00611028608812601,ECS1973
486,0.0442312518049607,ECS1974
487,0.0498251015753826,ECS1975
488,0.0810266484104907,ECS1976
489,0.125084220755543,ECS1977
490,0.133590343802243,ECS1978
491,0.35130991006315,ECS1979
492,0.406135330143249,ECS1980
493,0.375635293794641,ECS1981
494,0.242451179533676,ECS1982
495,0.416895532698532,ECS1983
496,0.5143600634487521,ECS1984
497,0.528329740382273,ECS1985
498,0.161492515431228,ECS1986
499,0.252416282520683,ECS1987
500,0.5183761489190979,ECS1988
501,0.7974702314905959,ECS1989
502,0.888990406251182,ECS1990
503,0.38841080079014295,ECS1991
504,0.362568907363895,ECS1992
505,0.36143422248435103,ECS1993
506,0.31881519313974394,ECS1994
507,0.32140341295670005,ECS1995
508,0.447082407236783,ECS1996
509,0.371367135573269,ECS1997
510,0.0905839939751267,ECS1998
511,0.33041225924851897,ECS1999
512,0.834068483646537,ECS2000
513,0.626452524987143,ECS2001
514,0.6396269156212521,ECS2002
515,0.647688803675754,ECS2003
516,0.7865882261380459,ECS2004
517,1.06598584921164,ECS2005
518,1.18379597914663,ECS2006
519,1.12122135778799,ECS2007
520,1.4263846573653898,ECS2008
521,0.861691357602858,ECS2009
522,1.20832845448775,ECS2010
523,1.6297598742057198,ECS2011
524,1.6117676186270702,ECS2012
525,1.39616488742733,ECS2013
526,1.2470248255423702,ECS2014
527,0.620024669594302,ECS2015
528,0.5020741642971571,ECS2016
529,0.730173729986289,ECS2017
530,,ECS2018
531,,ECA1960
532,,ECA1961
533,,ECA1962
534,,ECA1963
535,,ECA1964
536,,ECA1965
537,,ECA1966
538,,ECA1967
539,,ECA1968
540,,ECA1969
541,,ECA1970
542,0.0248466382602116,ECA1971
543,0.030287184482805003,ECA1972
544,0.0646836422249956,ECA1973
545,0.353331330183675,ECA1974
546,0.244340009296881,ECA1975
547,0.19878926716075196,ECA1976
548,0.187879084937626,ECA1977
549,0.18105638253924103,ECA1978
550,0.336785343868011,ECA1979
551,0.37855490980618106,ECA1980
552,0.287893393426841,ECA1981
553,0.169843886100554,ECA1982
554,0.254782410769248,ECA1983
555,0.56278778753281,ECA1984
556,0.54692777268991,ECA1985
557,0.20782085890148397,ECA1986
558,0.989603537415068,ECA1987
559,3.36963559428017,ECA1988
560,5.40988737050732,ECA1989
561,6.35215621719589,ECA1990
562,2.85707371411558,ECA1991
563,2.9168690372207795,ECA1992
564,2.56611653902412,ECA1993
565,2.47932830853708,ECA1994
566,2.6479594750230198,ECA1995
567,3.58709908312734,ECA1996
568,2.71608244880153,ECA1997
569,0.729701310742282,ECA1998
570,3.06882994945037,ECA1999
571,6.7012031134865495,ECA2000
572,5.34916728832595,ECA2001
573,5.42728543799061,ECA2002
574,5.59157840962539,ECA2003
575,6.24826016077147,ECA2004
576,7.39715427609883,ECA2005
577,7.500051277549231,ECA2006
578,6.579482734171701,ECA2007
579,7.53745783651072,ECA2008
580,5.20173219460401,ECA2009
581,6.41667716780864,ECA2010
582,7.914861748997709,ECA2011
583,7.26706044180261,ECA2012
584,6.270663599757639,ECA2013
585,6.07943967584556,ECA2014
586,3.38007727040632,ECA2015
587,2.85176367084171,ECA2016
588,3.9263245027736002,ECA2017
589,,ECA2018
590,,TEC1960
591,,TEC1961
592,,TEC1962
593,,TEC1963
594,,TEC1964
595,,TEC1965
596,,TEC1966
597,,TEC1967
598,,TEC1968
599,,TEC1969
600,,TEC1970
601,0.0248466382602116,TEC1971
602,0.030287184482805003,TEC1972
603,0.0646836422249956,TEC1973
604,0.353331330183675,TEC1974
605,0.244340009296881,TEC1975
606,0.19878926716075196,TEC1976
607,0.187879084937626,TEC1977
608,0.18105638253924103,TEC1978
609,0.336785343868011,TEC1979
