code,year,residual
DMA,1979,-0.4069691819686969
DMA,1980,1.5865828797028496
DMA,1981,0.46783233731605006
DMA,1982,-0.14751551168696236
DMA,1983,0.2167880901999987
DMA,1984,-0.1783712368352266
DMA,1985,0.19106504570024752
DMA,1986,0.05099283503607724
DMA,1987,0.4068634814377523
DMA,1988,0.019068299035650466
DMA,1989,-0.039391087010198444
DMA,1990,-0.373245370005591
DMA,1991,0.30638209214193096
DMA,1992,0.29617732217254283
DMA,1993,0.3432906299951104
DMA,1994,-0.38043744407086744
DMA,1995,0.2600574420914671
DMA,1996,0.8375851027593509
DMA,1997,0.11525471227587016
DMA,1998,-0.1150437154013059
DMA,1999,0.28137531513079084
DMA,2000,0.7113237215397513
DMA,2001,0.18317740147342154
DMA,2002,0.41792708347311586
DMA,2003,0.5231436843517081
DMA,2004,0.040371951351554025
DMA,2005,0.00646859133526595
DMA,2006,-0.24773096788959348
DMA,2007,-0.2764576542330326
DMA,2008,0.3350245045629191
DMA,2009,-0.30309645527957135
DMA,2010,-0.27610981035917
DMA,2011,-0.5520588606631276
DMA,2012,-0.13001923904431784
DMA,2013,0.040912591052596106
DMA,2014,0.3665851986653107
DMA,2015,0.36507191584274346
DMA,2016,-0.1886631207770872
DNK,1970,1.0653703209282979
DNK,1971,0.9758979275556501
DNK,1972,1.0796178185166199
DNK,1973,1.0445543676261633
DNK,1974,1.0657454952506065
DNK,1975,1.0428435159465976
DNK,1976,0.8522826117885005
DNK,1977,0.9864989968250153
DNK,1978,0.693992912511921
DNK,1979,0.7300462401051491
DNK,1980,1.3751979333075466
DNK,1981,0.736233725413527
DNK,1982,0.590100456799399
DNK,1983,0.852674325939635
DNK,1984,0.8315536227384716
DNK,1985,0.5628092079720152
DNK,1986,0.3922437722756163
DNK,1987,0.4269559127146676
DNK,1988,0.3112778555936013
DNK,1989,0.3410747464996931
DNK,1990,0.11321872615697803
DNK,1991,0.13979822615710163
DNK,1992,-0.3294202516694923
DNK,1993,-0.26531087526713726
DNK,1994,0.02067227739153704
DNK,1995,-0.05938395630440435
DNK,1996,-0.17836000973264315
DNK,1997,0.46294388528631714
DNK,1998,0.4958541757592533
DNK,1999,0.15362909874898018
DNK,2000,-0.09296616214187553
DNK,2001,0.01492094605151112
DNK,2002,-0.029171580553576715
DNK,2003,-0.07865678743114302
DNK,2004,-0.15107592445776963
DNK,2005,-0.5434495481466575
DNK,2006,-0.6073019293507667
DNK,2007,-0.8320344419046655
DNK,2008,-0.7984513899586245
DNK,2009,-0.7325747221563421
DNK,2010,-0.5968563838440628
DNK,2011,-0.41230424901577056
DNK,2012,-0.4947627232416113
DNK,2013,-0.6423048834683596
DNK,2014,-0.7335764908473834
