,map,gdp_pc
651,AUS1962,1851.42481621132
652,AUS1963,1963.63907865756
653,AUS1964,2127.5669015939498
654,AUS1965,2277.0666755098
655,AUS1966,2339.86193776423
656,AUS1967,2575.6200773301102
657,AUS1968,2719.42979712242
658,AUS1969,2986.2188893331604
659,AUS1970,3299.03729664552
660,AUS1971,3489.08660129541
661,AUS1972,3942.8124195443897
662,AUS1973,4762.47930449704
663,AUS1974,6471.55416483126
664,AUS1975,6992.53897536211
665,AUS1976,7474.862358484759
666,AUS1977,7763.130771954409
667,AUS1978,8239.95482475188
668,AUS1979,9279.25359480482
669,AUS1980,10191.816060433499
670,AUS1981,11830.8653178352
671,AUS1982,12763.3236063969
672,AUS1983,11515.8064658839
673,AUS1984,12428.857933816202
674,AUS1985,11434.8898883603
675,AUS1986,11360.527656765
676,AUS1987,11623.3596704092
677,AUS1988,14257.022162373001
678,AUS1989,17801.2682666586
679,AUS1990,18214.8369843135
680,AUS1991,18824.2474038288
681,AUS1992,18569.7687940943
682,AUS1993,17633.3813804079
683,AUS1994,18045.4390604354
684,AUS1995,20319.6306283956
685,AUS1996,21861.32550987
686,AUS1997,23468.5968306374
687,AUS1998,21318.964169431798
688,AUS1999,20521.7775705928
689,AUS2000,21669.410913093998
690,AUS2001,19482.5679026647
691,AUS2002,20074.2293129481
692,AUS2003,23437.3121454327
693,AUS2004,30401.5547862944
694,AUS2005,33961.6818019217
695,AUS2006,36019.203051188
696,AUS2007,40905.470893684505
697,AUS2008,49535.25787377691
698,AUS2009,42709.8033034787
699,AUS2010,51936.888711646105
700,AUS2011,62411.785447396105
701,AUS2012,67891.5868117735
702,AUS2013,68042.534785532
703,AUS2014,62403.095525888304
704,AUS2015,56644.0339550527
705,AUS2016,49937.7313909063
706,AUS2017,53793.5372560884
707,AUS2018,
708,AUT1960,935.460426850415
709,AUT1961,1031.8150043291
710,AUT1962,1087.8342434189
711,AUT1963,1167.00053244585
712,AUT1964,1269.41258289256
713,AUT1965,1374.53213986075
714,AUT1966,1486.9686060056601
715,AUT1967,1569.6671828996698
716,AUT1968,1677.6735280427201
717,AUT1969,1825.3861255212398
718,AUT1970,2058.76907922607
719,AUT1971,2380.97844333246
720,AUT1972,2924.04887110057
721,AUT1973,3890.7224564763396
722,AUT1974,4630.7572070671
723,AUT1975,5285.62072414121
724,AUT1976,5678.386637822729
725,AUT1977,6810.6277286986
726,AUT1978,8205.46892702823
727,AUT1979,9793.76530724628
728,AUT1980,10869.5464236099
729,AUT1981,9385.24901832146
730,AUT1982,9410.34722457985
731,AUT1983,9537.40743056414
732,AUT1984,8991.06507601017
733,AUT1985,9172.096768809759
734,AUT1986,13083.0726978243
735,AUT1987,16392.769566581297
736,AUT1988,17578.6189397397
737,AUT1989,17468.9461918554
738,AUT1990,21680.9896863626
739,AUT1991,22410.911736270402
740,AUT1992,24880.164070125
741,AUT1993,24081.5278077646
742,AUT1994,25646.700659168397
743,AUT1995,30325.8495818396
744,AUT1996,29809.0767730821
745,AUT1997,26705.478599389102
746,AUT1998,27361.8751106437
747,AUT1999,27174.2971559775
748,AUT2000,24564.4582948404
749,AUT2001,24537.5142629883
750,AUT2002,26401.7454564357
751,AUT2003,32222.897241165498
752,AUT2004,36821.521468009305
753,AUT2005,38403.1338770715
754,AUT2006,40635.281815972405
755,AUT2007,46855.7717452095
756,AUT2008,51708.7657541758
757,AUT2009,47963.1794023217
758,AUT2010,46858.0432733717
759,AUT2011,51374.9584066934
760,AUT2012,48567.69528642
761,AUT2013,50716.708706286394
762,AUT2014,51717.495940551504
763,AUT2015,44176.6717431334
764,AUT2016,45103.329814957804
765,AUT2017,47380.8296365373
766,AUT2018,
767,AZE1960,
768,AZE1961,
769,AZE1962,
770,AZE1963,
771,AZE1964,
772,AZE1965,
773,AZE1966,
774,AZE1967,
775,AZE1968,
776,AZE1969,
777,AZE1970,
778,AZE1971,
779,AZE1972,
780,AZE1973,
781,AZE1974,
782,AZE1975,
783,AZE1976,
784,AZE1977,
785,AZE1978,
786,AZE1979,
787,AZE1980,
788,AZE1981,
789,AZE1982,
790,AZE1983,
791,AZE1984,
792,AZE1985,
793,AZE1986,
794,AZE1987,
795,AZE1988,
796,AZE1989,
797,AZE1990,1266.02096692736
798,AZE1991,1131.3973548368199
799,AZE1992,673.331933978983
800,AZE1993,529.8136618432869
801,AZE1994,436.216868966934
802,AZE1995,397.198116117247
803,AZE1996,409.210755159618
804,AZE1997,505.563774721979
805,AZE1998,561.907035403795
806,AZE1999,573.893296585846
807,AZE2000,655.097432602586
808,AZE2001,703.683843432722
809,AZE2002,763.080637985358
810,AZE2003,883.64399654717
811,AZE2004,1045.00937916805
812,AZE2005,1578.40239029603
813,AZE2006,2473.08181863536
814,AZE2007,3851.4378687117205
815,AZE2008,5574.6038021861295
816,AZE2009,4950.29479142375
817,AZE2010,5842.805783585761
818,AZE2011,7189.69122920765
819,AZE2012,7496.294647682629
820,AZE2013,7875.75695254288
821,AZE2014,7891.31314749986
822,AZE2015,5500.31038244408
823,AZE2016,3880.7387308955604
824,AZE2017,4135.13860142071
825,AZE2018,
826,BDI1960,70.34907860648521
827,BDI1961,71.48727772914141
828,BDI1962,73.78176494961929
829,BDI1963,78.9002836003344
830,BDI1964,86.6031946364808
831,BDI1965,51.657364677122494
832,BDI1966,52.47672295617829
833,BDI1967,55.131686712538205
834,BDI1968,55.243404187824
835,BDI1969,56.0788814178728
836,BDI1970,70.2431270893069
837,BDI1971,72.12955294125129
838,BDI1972,69.63919254698689
839,BDI1973,85.04700014591229
840,BDI1974,95.413951050892
841,BDI1975,114.66358563208
842,BDI1976,119.90739092071999
843,BDI1977,143.28912783689
844,BDI1978,155.917661842898
845,BDI1979,194.97538606952
846,BDI1980,223.407226181457
847,BDI1981,229.45818667304403
848,BDI1982,233.817671036511
849,BDI1983,243.42380663973302
850,BDI1984,215.94418627534301
851,BDI1985,244.568937520968
852,BDI1986,248.21013392689702
853,BDI1987,226.849715785079
854,BDI1988,210.750095890205
855,BDI1989,210.96952029223598
856,BDI1990,209.05161516119702
857,BDI1991,210.64387719952998
858,BDI1992,191.310912981441
859,BDI1993,162.635224953531
860,BDI1994,157.543001456617
861,BDI1995,167.79917167616998
862,BDI1996,143.853293287245
863,BDI1997,159.175528123232
864,BDI1998,144.474612191101
865,BDI1999,128.696439743929
866,BDI2000,135.998445465725
867,BDI2001,133.74276892649098
868,BDI2002,122.43358929636601
869,BDI2003,112.84937029219499
870,BDI2004,127.42966480329599
871,BDI2005,150.487613462472
872,BDI2006,165.904748464318
873,BDI2007,170.81515150233102
874,BDI2008,196.271807860329
875,BDI2009,209.85376211621102
876,BDI2010,231.795536921138
877,BDI2011,247.22937911122898
878,BDI2012,250.362736551083
879,BDI2013,255.372690981804
880,BDI2014,273.538284989312
881,BDI2015,304.374220715324
882,BDI2016,281.181337625778
883,BDI2017,292.005210338326
884,BDI2018,
885,BEL1960,1273.69165910289
886,BEL1961,1350.19767333123
887,BEL1962,1438.5232330684
888,BEL1963,1535.02372901043
889,BEL1964,1701.84627554319
890,BEL1965,1835.5947655319396
891,BEL1966,1957.6260804276199
892,BEL1967,2086.63600544654
893,BEL1968,2222.3615105191298
894,BEL1969,2458.0818200377303
895,BEL1970,2780.6961867832697
896,BEL1971,3099.43015794539
897,BEL1972,3852.14172933289
898,BEL1973,4927.1959234948
899,BEL1974,5764.48988319245
900,BEL1975,6737.24825069324
901,BEL1976,7281.8177353643005
902,BEL1977,8472.0544682791
903,BEL1978,10344.8471326448
904,BEL1979,11873.835404482099
905,BEL1980,12932.8605964577
906,BEL1981,10679.663892360699
907,BEL1982,9393.87669193076
908,BEL1983,8893.58613003995
909,BEL1984,8502.53859675867
910,BEL1985,8797.65967886135
911,BEL1986,12235.184137448201
912,BEL1987,15216.8710172156
913,BEL1988,16478.831592157
914,BEL1989,16613.516652258
915,BEL1990,20710.6443430806
916,BEL1991,21154.2918385501
917,BEL1992,23497.7274067423
918,BEL1993,22403.2168180008
919,BEL1994,24338.1377018161
920,BEL1995,28565.919151606602
921,BEL1996,27701.903287058998
922,BEL1997,25027.7445890682
923,BEL1998,25541.674723365602
924,BEL1999,25444.1392583071
925,BEL2000,23207.405911007798
926,BEL2001,23121.6011440246
927,BEL2002,25052.339390085497
928,BEL2003,30743.9025377208
929,BEL2004,35589.6891168402
930,BEL2005,36967.259183968796
931,BEL2006,38852.3729277437
932,BEL2007,44403.7668991523
933,BEL2008,48424.575596314695
934,BEL2009,44880.573019622694
935,BEL2010,44380.1766327308
936,BEL2011,47743.7805335086
937,BEL2012,44826.439611664806
938,BEL2013,46680.3898229483
939,BEL2014,47355.3120057387
940,BEL2015,40431.952619357406
941,BEL2016,41454.5249267131
942,BEL2017,43467.445895672005
943,BEL2018,
944,BEN1960,93.02250899071069
945,BEN1961,95.5721547147448
946,BEN1962,94.4645349843821
947,BEN1963,99.8591138855553
948,BEN1964,104.339768039886
949,BEN1965,110.13279383511299
950,BEN1966,112.940836383512
951,BEN1967,111.951601925238
952,BEN1968,116.89506602186
953,BEN1969,116.025094341185
954,BEN1970,114.556596466987
955,BEN1971,112.570089087637
956,BEN1972,134.819407935009
957,BEN1973,161.987373671434
958,BEN1974,174.014149085561
959,BEN1975,207.30043974547297
960,BEN1976,208.656153830514
961,BEN1977,218.4543657692
962,BEN1978,263.581057550946
963,BEN1979,327.821677993792
964,BEN1980,378.043898303902
965,BEN1981,337.978194739187
966,BEN1982,322.77769945337
967,BEN1983,271.129240225224
968,BEN1984,252.86978504478802
969,BEN1985,244.41099885846901
970,BEN1986,303.348897858296
971,BEN1987,344.503070791789
972,BEN1988,346.736037681422
973,BEN1989,311.678303860822
974,BEN1990,393.68621442353106
975,BEN1991,385.753616012638
976,BEN1992,317.962855286116
977,BEN1993,411.92603052228304
978,BEN1994,279.666504326806
979,BEN1995,367.387341032599
980,BEN1996,387.432924636251
981,BEN1997,361.100269794441
982,BEN1998,379.442353954477
983,BEN1999,403.623703839155
984,BEN2000,374.192394159235
985,BEN2001,378.736053976421
986,BEN2002,418.69857634710297
987,BEN2003,519.292284661195
988,BEN2004,583.409351430682
989,BEN2005,601.7999769588749
990,BEN2006,625.830091976463
991,BEN2007,706.053541900699
992,BEN2008,820.151349819346
993,BEN2009,793.4524300307049
994,BEN2010,757.695907409377
995,BEN2011,825.9427853632151
