,eci1,eci2,eci3,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,map,code,year,population,oil_prod_pc,gdp_pc
167,-0.4123712308784089,-0.5337394704788668,-0.6878608202977226,0.010530352848728178,0.013609409058840843,0.021664108670128437,0.0,0.0,ATG1990,ATG,1990,11.139211898922602,0.0,8.91497849937369
168,-1.1281690805038742,-1.1187945122686962,-1.4673856022979381,0.016057943011322233,0.01854381043001398,0.022072244206844286,0.0,0.0,ATG1995,ATG,1995,11.261042875316212,0.0,9.070034501472662
169,-0.7949779263160442,-0.8342312075412714,-1.0651901225410392,0.01059674109789947,0.01621566695402409,0.022742235501749995,0.0,0.0,ATG2000,ATG,2000,11.363164801571116,0.0,9.190352578910591
170,-0.8654535047167533,-1.0168367995472052,-1.162895712327653,0.005940369670270773,0.013510045601671034,0.015585704794338715,0.0,0.0,ATG2005,ATG,2005,11.422987628253209,0.0,9.495460250811325
171,-0.3019420871425287,-0.6578156584718137,-0.7529192434894771,0.0286044252880786,0.05521637975585938,0.06787073823431984,0.0,0.0,ATG2010,ATG,2010,11.480104708335459,0.0,9.420907771256394
172,-0.7762190636983675,-0.9779215013012668,-1.1383926781056468,0.0076672111869126956,0.018296094341867814,0.02720539907618997,0.0,0.0,ATG2015,ATG,2015,11.5225391054862,0.0,9.568295329515955
173,-0.19739745591396596,-0.20705830918961265,-0.3203976793213976,0.0017861728275604175,0.015348218546220904,0.04045742734362387,,,AUS1960,AUS,1960,16.187966374353845,,7.562606994431327
174,-0.23751072440533136,-0.26449172573880875,-0.3454103641636076,0.00105287411117013,0.02462325970294717,0.045800325058680105,,,AUS1965,AUS,1965,16.285472760366453,,7.855404929938945
175,-0.18623133315136656,-0.17435230029981255,-0.3064277188720946,0.0019134253414027265,0.04193066533529434,0.06384605046879724,0.3455098174725967,2.3965897476427984,AUS1970,AUS,1970,16.39153680111976,,8.387766268459862
176,-0.3444466331526507,-0.24039443739211094,-0.4651202794672427,0.00393541911922751,0.05374273761877938,0.07766286103068436,1.6503874220400363,4.957896379922112,AUS1975,AUS,1975,16.468611667581467,,8.980920679963122
177,0.020092896868466846,-0.03817291854425785,0.2255690556139125,0.008328234469687333,0.06724366404047064,0.0902653318896985,1.820731896235476,4.823604068407576,AUS1980,AUS,1980,16.53298289764539,32.17373736247729,9.371279433674003
178,-0.17335951394271654,-0.0948852491617276,0.02936700807644205,0.008292543023984508,0.06963228072421257,0.08841625812993074,1.1852287885730188,3.7303960903018183,AUS1985,AUS,1985,16.605286971926525,38.45666529873573,9.495174407286155
179,-0.25088598468595674,-0.15643412799200826,-0.14746265928701766,0.009589706812271623,0.06567705154544945,0.08291819758305892,0.7753962784453389,2.5213335707291,AUS1990,AUS,1990,16.67617998109637,35.90177350911867,9.812333135429522
180,-0.6032314823222359,-0.4292710866153603,-0.35313650798725205,0.012482691864793527,0.06800110630197212,0.08938226135081283,0.5597511908646984,2.0409311283118217,AUS1995,AUS,1995,16.73368121006988,35.71294412513783,9.975717928262691
181,-0.7125035356593225,-0.4661678865714349,-0.4670931725662128,0.015176301042627632,0.07163899703555635,0.08299618940874404,0.8980088442236319,3.350900223441318,AUS2000,AUS,2000,16.793488145757554,36.005524027001314,10.04381520495791
182,-0.6973709346977822,-0.3613342864373792,-0.3405903270769083,0.016455048342465174,0.10253339209164106,0.11121754839323787,0.9151327846854004,7.572236615081495,AUS2005,AUS,2005,16.858710216438947,27.299979139655587,10.61217051014376
