,t_exp,map,t_exp_cons
563,391716347307.704,ECA1992,335335646213.63104
564,255542909706.74698,ECA1993,331194353710.076
565,200681953245.626,ECA1994,360994427051.97705
566,217922701929.42398,ECA1995,392003971549.424
567,206839941457.987,ECA1996,428460528252.65295
568,215300001964.455,ECA1997,447595970699.178
569,205717073839.554,ECA1998,454087345590.41705
570,193291007895.95602,ECA1999,465240210446.96
571,238069514883.936,ECA2000,528977303415.613
572,240437924802.795,ECA2001,553272507309.6011
573,263337157793.65698,ECA2002,609372198468.643
574,327111724289.34,ECA2003,673026346765.884
575,441676542383.253,ECA2004,763137587518.771
576,549727609616.048,ECA2005,796289674494.172
577,672854675669.651,ECA2006,848541296055.1941
578,819964040291.0691,ECA2007,915343622619.673
579,1069773663872.96,ECA2008,935567367375.353
580,758189857939.4559,ECA2009,873200512808.53
581,932363749124.771,ECA2010,932363749124.771
582,1199336755066.64,ECA2011,983709041141.9391
583,1245261443494.5,ECA2012,1023302704259.52
584,1255907397187.81,ECA2013,1059331493728.3
585,1217622961201.38,ECA2014,1078362148711.97
586,925948465039.5509,ECA2015,1105185889793.38
587,842802283582.44,ECA2016,1135789955608.87
588,1001126590297.5,ECA2017,1219062542176.02
589,,ECA2018,
590,,TEC1960,
591,,TEC1961,
592,,TEC1962,
593,,TEC1963,
594,,TEC1964,
595,,TEC1965,
596,,TEC1966,
597,,TEC1967,
598,,TEC1968,
599,,TEC1969,
600,,TEC1970,
601,,TEC1971,
602,,TEC1972,
603,,TEC1973,
604,,TEC1974,
605,,TEC1975,
606,,TEC1976,
607,,TEC1977,
608,,TEC1978,
609,,TEC1979,
610,,TEC1980,
611,,TEC1981,
612,,TEC1982,
613,,TEC1983,
614,,TEC1984,
615,,TEC1985,
616,,TEC1986,
617,,TEC1987,
618,,TEC1988,
619,,TEC1989,
620,219731598371.534,TEC1990,678498430020.936
621,173711067926.488,TEC1991,526533700182.776
622,461277889662.574,TEC1992,390474024561.573
623,300922580632.477,TEC1993,385651789976.58704
624,236319338017.79602,TEC1994,420351812778.90204
625,256621723209.849,TEC1995,456460176970.00104
626,249441590127.505,TEC1996,500828914344.54205
627,259920448352.42102,TEC1997,528239940591.24
628,258531227357.37302,TEC1998,544511075492.215
629,241360669383.251,TEC1999,553822015185.621
630,292818351476.647,TEC2000,637974772651.269
631,301320703953.56,TEC2001,666704761083.1321
632,330599451297.586,TEC2002,728151292208.639
633,413220732104.391,TEC2003,808026569457.9309
634,545489829284.896,TEC2004,904739247892.256
635,673523258194.314,TEC2005,950885589847.131
636,823390125683.442,TEC2006,1025206234220.93
637,1008856354112.02,TEC2007,1108219246133.91
638,1298971876482.97,TEC2008,1140636609996.28
639,943364216177.593,TEC2009,1064052214066.6
640,1146839138717.55,TEC2010,1146839138717.55
641,1449527899170.46,TEC2011,1213816878181.61
642,1491089038069.64,TEC2012,1262872502934.3
643,1523570346402.49,TEC2013,1312841812002.22
644,1503117122101.22,TEC2014,1348758921149.66
645,1186124196123.44,TEC2015,1397282722223.05
646,1114325866359.51,TEC2016,1453363189158.92
647,1315129161545.6,TEC2017,1565946409034.04
648,,TEC2018,
649,66444165954.0177,EUU1960,409550996072.60297
650,70785456625.9805,EUU1961,434154184595.37396
651,75120548889.4769,EUU1962,459380313092.28
652,81484970481.9289,EUU1963,487850485737.182
653,91088173695.968,EUU1964,532853453263.27295
654,100302780946.80801,EUU1965,579609665785.549
655,109573235743.997,EUU1966,622800501150.415
656,115570562912.081,EUU1967,650739410770.179
657,126537719750.774,EUU1968,724969586656.97
658,146196978916.023,EUU1969,816826345797.263
659,168779851115.931,EUU1970,912466200930.371
660,191097470321.167,EUU1971,972989067456.07
661,228995143832.757,EUU1972,1048463646653.06
662,306329166332.489,EUU1973,1162558933009.74
663,397948265607.997,EUU1974,1243807571992.42
664,433342011384.498,EUU1975,1196138984761.19
665,470315757698.431,EUU1976,1308955667306.83
666,543103044205.625,EUU1977,1382279881656.59
667,656022497595.948,EUU1978,1455557404520.15
668,823722960979.005,EUU1979,1555099015241.97
669,949384780443.297,EUU1980,1573641103045.2
670,882717896095.952,EUU1981,1648052746763.52
671,847921439743.927,EUU1982,1664941156288.15
672,829441506761.245,EUU1983,1718731234606.05
673,846432880926.768,EUU1984,1856310410347.95
674,882659589269.87,EUU1985,1944114066031.85
675,1084587674700.88,EUU1986,1966986974920.82
676,1307775164263.87,EUU1987,2048171211118.34
677,1456762049875.22,EUU1988,2149039143251.14
678,1546379552870.4,EUU1989,2297688267925.44
679,1901074833069.29,EUU1990,2387769322891.49
680,1951086165727.7,EUU1991,2477834446016.03
681,2110396880208.36,EUU1992,2569498324905.19
682,1956810349918.5,EUU1993,2617694544636.72
683,2193520632188.88,EUU1994,2860240103679.24
684,2683930337216.12,EUU1995,3120160012599.46
685,2778805378120.72,EUU1996,3291763581121.43
686,2785737967239.57,EUU1997,3638722157922.65
687,2903448174866.37,EUU1998,3881247667598.7
688,2925916417842.44,EUU1999,4089620055385.49
689,3007338913841.67,EUU2000,4617407299090.12
690,3045672708360.44,EUU2001,4788140217330.67
691,3255421440689.79,EUU2002,4898286129823.09
692,3888547106297.72,EUU2003,4981800531735.84
693,4671963207613.42,EUU2004,5384675260281.29
694,5088210002134.05,EUU2005,5711355669142.49
695,5760857904204.5,EUU2006,6249954790451.57
696,6768023325815.24,EUU2007,6641497354606.67
697,7463533013428.8,EUU2008,6725649423080.51
698,5967122820549.77,EUU2009,5939952931257.86
699,6562629171739.62,EUU2010,6562629171739.62
700,7611018325191.18,EUU2011,7002237404269.95
701,7367087609683.9,EUU2012,7158142324445.11
702,7724415467134.85,EUU2013,7320851231466.25
703,8042721156228.51,EUU2014,7665174729775.35
704,7210219862554.24,EUU2015,8145273634358.27
705,7263695741980.34,EUU2016,8408294260258.98
706,7919033229346.3,EUU2017,8857584492991.0
707,,EUU2018,
708,,FCS1960,
709,,FCS1961,
710,,FCS1962,
711,,FCS1963,
712,,FCS1964,
713,,FCS1965,
714,,FCS1966,
715,,FCS1967,
716,,FCS1968,
717,,FCS1969,
718,,FCS1970,
719,,FCS1971,
720,,FCS1972,
721,,FCS1973,
722,,FCS1974,
723,,FCS1975,
724,,FCS1976,
725,,FCS1977,
726,,FCS1978,
727,,FCS1979,
728,,FCS1980,
729,,FCS1981,
730,,FCS1982,
731,,FCS1983,
732,,FCS1984,
733,,FCS1985,
734,,FCS1986,
735,,FCS1987,
736,,FCS1988,
737,,FCS1989,
738,,FCS1990,
739,,FCS1991,
740,,FCS1992,
741,,FCS1993,
742,,FCS1994,
743,,FCS1995,
744,,FCS1996,
745,,FCS1997,
746,,FCS1998,
747,,FCS1999,
748,59621244149.5233,FCS2000,
749,53364518267.9503,FCS2001,
750,58644504038.7697,FCS2002,
751,71872063749.3838,FCS2003,
752,99843885496.6094,FCS2004,
753,126519754202.812,FCS2005,
754,154240587014.603,FCS2006,
755,185936798371.25,FCS2007,
756,251744760393.6,FCS2008,219493107218.999
757,180299153232.81302,FCS2009,216968653993.74698
758,229574244933.314,FCS2010,229574244933.314
759,244029198154.757,FCS2011,178679235821.415
760,296620083198.902,FCS2012,234118389080.192
761,286327611270.98804,FCS2013,211935935345.025
762,261334570834.697,FCS2014,182294439992.392
763,196777863532.797,FCS2015,195629666357.71
764,173559030260.924,FCS2016,188856234437.95
765,222896049847.024,FCS2017,220214458724.62198
766,,FCS2018,
767,2424450030.2417603,HPC1960,
768,2686296100.39148,HPC1961,
769,2835129211.02981,HPC1962,
770,3069761101.30453,HPC1963,
771,3487011114.8596697,HPC1964,
772,3847045382.4027,HPC1965,
773,4073953412.71961,HPC1966,
774,4227679652.3034,HPC1967,
775,4677518146.14694,HPC1968,
776,4977661830.98448,HPC1969,
777,5700515590.74903,HPC1970,
778,5644944203.18309,HPC1971,
779,6469659735.33741,HPC1972,
780,7721466274.00488,HPC1973,
