,eci1,eci2,eci3,gdp_pc,population,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,oil_prod_pc,map,code,year
434,-0.6737819863639646,-0.8134543864988508,-0.9710471641312394,249.0135463135066,2114211.6,8.688859484806243e-07,0.04160421790154789,0.13134902086887953,,10.070985035111423,,CAF1975,CAF,1975
435,-0.6616582714708239,-0.7720522372187978,-0.8622253820813853,293.5649349852026,2420880.0,0.0,0.05495304278270088,0.12176226570538769,0.0,9.90701291779116,0.0,CAF1980,CAF,1980
436,-0.8131566077276433,-0.9685562861073445,-1.020895406303016,411.92966907810296,2754274.0,0.00013437910512929655,0.04125697798390325,0.0799576063206678,0.0,5.711083270728779,0.0,CAF1985,CAF,1985
437,-0.42214564709579233,-0.5067187664221163,-0.5642215845819533,413.10160886837787,3099820.6,1.0739750314404457e-05,0.05402649185577457,0.07997189809088914,0.0,7.514453048533708,0.0,CAF1990,CAF,1990
438,-0.7913089565494509,-0.8551220207575694,-0.35327827760827,286.6718893744412,3515958.0,1.3354746387180975e-05,0.1174231631754508,0.16215792744987462,0.0,12.134859954392454,0.0,CAF1995,CAF,1995
439,-0.5706569740829226,-0.5922197452822042,0.14202326380552557,267.9739629208592,3906300.4,0.000392531585968602,0.1001406749601077,0.14196263813890395,0.0,10.643617660122638,0.0,CAF2000,CAF,2000
440,-0.7072430630572912,-0.7439482865584646,0.015869848258265117,395.0855736873759,4271016.8,8.432017693845356e-06,0.025030387637569658,0.06187587953885334,0.0,9.885866773206558,0.0,CAF2005,CAF,2005
441,-0.5622241233657271,-0.4814012524650719,-0.2026107329118306,426.9514554124582,4486027.8,1.5042899063409153e-05,0.020426349100574046,0.05251593836926488,0.0,11.097281732685735,0.0,CAF2010,CAF,2010
442,-0.6803710581921775,-0.4660563606377638,-0.2948266975164625,382.95433175093575,4599933.666666667,2.453691697821347e-05,0.001802753842700198,0.041342472535448996,0.0,14.142087799496068,0.0,CAF2015,CAF,2015
443,0.4662642422575234,0.2303208483685327,0.4387654624966964,2333.0899966255556,18616601.8,0.007137299385469847,0.04278007622807902,0.08865478405156835,,,,CAN1960,CAN,1960
444,0.6597174047577734,0.8195677808188648,0.9672726969671084,3207.683701996694,20382000.0,0.008031165608144129,0.04409234037786549,0.0822751590277375,,,,CAN1965,CAN,1965
445,0.7512035868952318,0.8836739275987757,1.0029279346234294,5352.776059350932,22021332.2,0.01603331455595323,0.05158176945003767,0.08853538654386832,1.1127677230795001,3.0040383353522317,,CAN1970,CAN,1970
446,0.34775116690719876,0.5425456640073676,0.6157009843648121,8854.985298470976,23767200.0,0.022537840636371372,0.05614267480701859,0.09437272943259374,2.6658399168822697,5.161452275969132,,CAN1975,CAN,1975
