Country,Year,NY.GDP.TOTL.RT.ZS
ECS,1968,
ECS,1969,
ECS,1970,0.221138332918614
ECS,1971,0.207109108666979
ECS,1972,0.185532742375338
ECS,1973,0.23938799572188
ECS,1974,0.387156628159662
ECS,1975,0.533862217581111
ECS,1976,0.598151705975945
ECS,1977,0.564343317533493
ECS,1978,0.495802857918546
ECS,1979,0.769484598361441
ECS,1980,0.89228090039388
ECS,1981,0.932669320538295
ECS,1982,0.733841351992348
ECS,1983,0.853783280679269
ECS,1984,0.885464616017451
ECS,1985,0.919150029290334
ECS,1986,0.398039491978443
ECS,1987,0.435088047684943
ECS,1988,0.83235575659358
ECS,1989,1.14091199092027
ECS,1990,1.34812759935865
ECS,1991,0.75919060580089
ECS,1992,0.692108765465595
ECS,1993,0.680293412408118
ECS,1994,0.57075719560303
ECS,1995,0.571661046252634
ECS,1996,0.71231879188592
ECS,1997,0.633191611497115
ECS,1998,0.241104208018973
ECS,1999,0.46128804534976
ECS,2000,1.22514025434539
ECS,2001,1.26174451126406
ECS,2002,1.11756889060234
ECS,2003,1.10228766113447
ECS,2004,1.25155044061546
ECS,2005,1.55988075860679
ECS,2006,1.95624198504359
ECS,2007,1.92583883577598
ECS,2008,2.58327781713689
ECS,2009,1.69943638924501
ECS,2010,2.12676407543425
ECS,2011,2.80364349579779
ECS,2012,2.71164566624532
ECS,2013,2.36213722293918
ECS,2014,1.96794507020105
ECS,2015,1.21350793755994
ECS,2016,0.987481513662005
ECS,2017,1.36279041838343
ECS,2018,
ECA,1960,
ECA,1961,
ECA,1962,
ECA,1963,
ECA,1964,
ECA,1965,
ECA,1966,
ECA,1967,
ECA,1968,
ECA,1969,
ECA,1970,0.673289530509625
ECA,1971,0.627848636528957
ECA,1972,0.542084873649732
ECA,1973,0.746173964092559
ECA,1974,1.13287988697183
ECA,1975,0.881040426326213
ECA,1976,0.911760518076208
ECA,1977,0.795389201931143
ECA,1978,0.796329856980522
ECA,1979,0.81984881355494
ECA,1980,1.40621208021494
ECA,1981,1.49212025678764
ECA,1982,1.42346579479735
ECA,1983,1.15100234275103
ECA,1984,1.40459807528488
ECA,1985,1.41842298458559
ECA,1986,0.824937483261062
ECA,1987,2.30583716532478
ECA,1988,4.85259585689336
ECA,1989,7.03274174594808
ECA,1990,8.97203208614237
ECA,1991,5.24416825581281
ECA,1992,5.60671914481226
ECA,1993,4.93429351648796
ECA,1994,4.58553462872335
ECA,1995,4.75101502270901
ECA,1996,5.82301223380509
ECA,1997,4.77024543198404
ECA,1998,1.87203250375834
ECA,1999,4.24275232673242
ECA,2000,10.2329821779555
ECA,2001,11.3151685089215
ECA,2002,9.68770399543674
ECA,2003,9.5802932572232
ECA,2004,9.79607497099383
ECA,2005,10.7293529845955
ECA,2006,12.2338946030968
ECA,2007,11.1505883860806
ECA,2008,13.2941067268675
ECA,2009,9.85065762863278
ECA,2010,10.8772422879037
ECA,2011,13.173695201569
ECA,2012,11.789687510763
ECA,2013,10.2099818202505
ECA,2014,9.24830919540568
ECA,2015,6.31874017658017
ECA,2016,5.35777507429211
ECA,2017,7.02606739533896
ECA,2018,
TEC,1960,
TEC,1961,
TEC,1962,
TEC,1963,
TEC,1964,
TEC,1965,
TEC,1966,
TEC,1967,
TEC,1968,
TEC,1969,
TEC,1970,0.673289530509625
TEC,1971,0.627848636528957
TEC,1972,0.542084873649732
TEC,1973,0.746173964092559
TEC,1974,1.13287988697183
TEC,1975,0.881040426326213
TEC,1976,0.911760518076208
TEC,1977,0.795389201931143
TEC,1978,0.796329856980522
TEC,1979,0.81984881355494
TEC,1980,1.40621208021494
TEC,1981,1.49212025678764
TEC,1982,1.42346579479735
TEC,1983,1.15100234275103
TEC,1984,1.40459807528488
TEC,1985,1.41842298458559
TEC,1986,0.824937483261062
TEC,1987,2.30583716532478
TEC,1988,4.85259585689336
TEC,1989,7.03274174594808
TEC,1990,8.59173294476794
TEC,1991,4.97752469703115
TEC,1992,5.20177937644926
TEC,1993,4.53424521822724
TEC,1994,4.08899365533964
TEC,1995,4.09700654562279
TEC,1996,4.86178970240803
TEC,1997,4.02698008176263
TEC,1998,1.57956490235225
TEC,1999,3.34819971058552
TEC,2000,8.16228082041454
TEC,2001,8.86155991886808
TEC,2002,7.68799276673805
TEC,2003,7.78997990910435
TEC,2004,8.26933214133073
TEC,2005,9.09467081875972
TEC,2006,10.5422420885561
TEC,2007,9.64960961586048
TEC,2008,11.5695156557178
TEC,2009,8.44948874162179
TEC,2010,9.49650719498728
TEC,2011,11.6681361614795
TEC,2012,10.5415012023872
TEC,2013,9.12275425247684
TEC,2014,8.16440998090886
TEC,2015,5.51661540832461
TEC,2016,4.6706177828984
TEC,2017,6.11259785012085
TEC,2018,
EUU,1960,
EUU,1961,
EUU,1962,
EUU,1963,
EUU,1964,
EUU,1965,
EUU,1966,
EUU,1967,
EUU,1968,
EUU,1969,
EUU,1970,0.208068893256599
EUU,1971,0.196962777292777
EUU,1972,0.176495335901977
EUU,1973,0.224740268178141
EUU,1974,0.359409777348344
EUU,1975,0.509204329131192
EUU,1976,0.564406501065648
EUU,1977,0.534981748976622
EUU,1978,0.455785539749495
EUU,1979,0.692503033554227
EUU,1980,0.802999670794762
EUU,1981,0.868607178897817
EUU,1982,0.705508628093493
EUU,1983,0.783033854833019
EUU,1984,0.7846666415791
EUU,1985,0.815326143593651
EUU,1986,0.353645010625674
EUU,1987,0.339937143459352
EUU,1988,0.299328713493939
EUU,1989,0.354739404677303
EUU,1990,0.392586453177388
EUU,1991,0.241855978648366
EUU,1992,0.20050893599923
EUU,1993,0.211198823271351
EUU,1994,0.196707103076426
EUU,1995,0.204276695045552
EUU,1996,0.241833627653756
EUU,1997,0.214714050906777
EUU,1998,0.103135564261824
EUU,1999,0.158842859272221
EUU,2000,0.362651272050633
EUU,2001,0.376147922770379
EUU,2002,0.315533903079555
EUU,2003,0.286675559563557
EUU,2004,0.316437140115934
EUU,2005,0.349506270844902
EUU,2006,0.428436893709088
EUU,2007,0.413006109301543
EUU,2008,0.568535216415604
EUU,2009,0.353259556821359
EUU,2010,0.434313784095892
EUU,2011,0.525059267845973
EUU,2012,0.460920818885185
EUU,2013,0.384341363011452
EUU,2014,0.30880867595709
EUU,2015,0.212341943071742
EUU,2016,0.178166372638902
EUU,2017,0.22721120384233
EUU,2018,
FCS,1960,
FCS,1961,
FCS,1962,
FCS,1963,
FCS,1964,
FCS,1965,
FCS,1966,
FCS,1967,
FCS,1968,
FCS,1969,
FCS,1970,4.09373915443609
FCS,1971,7.44269566591376
FCS,1972,7.79475584228542
FCS,1973,11.49183939188
FCS,1974,24.1650894989193
FCS,1975,21.8894626700059
FCS,1976,22.2675866930473
FCS,1977,20.7255989692947
FCS,1978,19.6406067475551
FCS,1979,2.76774595236641
FCS,1980,29.3260714322374
FCS,1981,14.4896832449824
FCS,1982,12.1221594076
FCS,1983,12.6262570013364
FCS,1984,13.495832704648
FCS,1985,14.0661917095546
FCS,1986,9.06420999622202
FCS,1987,13.0297403938705
FCS,1988,13.3275678242398
FCS,1989,18.651974224692
FCS,1990,13.7152884355363
FCS,1991,14.03487707997
FCS,1992,14.9205012611579
FCS,1993,14.031793123042
FCS,1994,15.461208554516
FCS,1995,16.985168716235
FCS,1996,18.4619059469266
FCS,1997,15.309103707786
FCS,1998,10.8259216081619
FCS,1999,12.5249863157315
FCS,2000,17.5244362368994
FCS,2001,15.8356888046107
FCS,2002,16.8493316662236
FCS,2003,18.5442208020606
FCS,2004,27.5481578229902
FCS,2005,32.4828134132169
FCS,2006,34.3789059775026
FCS,2007,31.7763315156368
FCS,2008,35.2584372543953
FCS,2009,22.5103085586612
FCS,2010,25.9660727159929
FCS,2011,29.0966020343159
FCS,2012,29.244184840974
FCS,2013,26.1803746145227
FCS,2014,23.5682709998096
FCS,2015,15.9136341829073
FCS,2016,14.7311652672504
FCS,2017,17.934885091973
FCS,2018,
HPC,1960,
HPC,1961,
HPC,1962,
HPC,1963,
HPC,1964,
HPC,1965,
HPC,1966,
HPC,1967,
HPC,1968,
HPC,1969,
HPC,1970,7.43053223519584
HPC,1971,5.39730650131614
HPC,1972,5.41336775436418
HPC,1973,8.37954133821056
HPC,1974,8.9901982615561
HPC,1975,6.19652891695657
HPC,1976,6.14379731645501
HPC,1977,6.98192252876381
HPC,1978,6.05943622684303
HPC,1979,7.3910960114262
HPC,1980,8.1584787146728
