,map,res_exp1,res_exp2,res_exp3
6381,MDG1994,4709895.0,15588946.0,227762650.0
6382,MDG1995,11997703.0,30443319.0,258778399.0
6383,MDG1996,15865239.0,37325488.0,214430117.0
6384,MDG1997,22520625.0,38556886.0,213579730.0
6385,MDG1998,17354312.0,24464793.0,201053666.0
6386,MDG1999,19229341.0,36927592.0,202623469.0
6387,MDG2000,33802925.0,58559296.0,264067959.0
6388,MDG2001,39072000.0,51330217.0,331366658.0
6389,MDG2002,16781680.0,29756589.0,290785234.0
6390,MDG2003,21521698.0,36125933.0,381925542.0
6391,MDG2004,15059965.0,38743308.0,310002852.0
6392,MDG2005,32106749.0,69075683.0,224050091.0
6393,MDG2006,38251324.0,86889982.0,252782377.0
6394,MDG2007,14585876.0,62759817.0,232935734.0
6395,MDG2008,68469078.0,137081847.0,302219454.0
6396,MDG2009,23061261.0,83072106.0,292489060.0
6397,MDG2010,40192347.0,141636499.0,345569032.0
6398,MDG2011,22400957.0,182171936.0,731284481.0
6399,MDG2012,21815623.0,261398491.0,705745612.0
6400,MDG2013,20870477.0,564369483.0,919580606.0
6401,MDG2014,26667530.0,795196007.0,1247986951.0
6402,MDG2015,19243827.0,826603781.0,1363809612.0
6403,MDG2016,27589968.0,666520195.0,1498336393.0
6404,MDV1962,0.0,1235.0,1235.0
6405,MDV1963,0.0,0.0,0.0
6406,MDV1964,0.0,0.0,0.0
6407,MDV1965,0.0,0.0,0.0
6408,MDV1966,0.0,0.0,0.0
6409,MDV1969,0.0,0.0,5216.4501953125
6410,MDV1970,20236.00048828125,474529.00048828125,2856339.437927246
6411,MDV1971,0.0,2659.0,14598.0
6412,MDV1972,0.0,18647.029296875,124903.33349609375
6413,MDV1973,1811.99853515625,40922.99267578125,237234.11767578125
6414,MDV1974,0.0,0.0,182724.1875
6415,MDV1975,0.0,200156.005859375,237990.5594482422
6416,MDV1976,0.0,35088.0,233409.66485595703
6417,MDV1977,0.0,478442.0,556719.001953125
6418,MDV1978,0.0,0.0,23401.869140625
6419,MDV1979,0.0,227846.00439453125,262511.00439453125
6420,MDV1980,84926.0703125,207402.0,801671.5492553711
6421,MDV1981,5012.9970703125,21094.85125732422,239708.04412841797
6422,MDV1982,0.0,171028.26953125,569610.6592407227
6423,MDV1983,0.0,36944.005859375,110797.80810546875
6424,MDV1984,0.0,655970.76171875,1151938.7001953125
6425,MDV1985,3839.99853515625,283441.5021972656,407108.0451660156
6426,MDV1986,3002.000732421875,214615.01147460938,224783.01147460938
6427,MDV1987,0.0,140187.38507080078,156384.48541259766
6428,MDV1988,0.0,48460.044189453125,1297846.0778808594
6429,MDV1989,0.0,132541.51220703125,162311.27716064453
6430,MDV1990,23750.0,53942.0,80837.0
6431,MDV1991,0.0,125299.0,188345.0
6432,MDV1992,0.0,287165.0,380045.0
6433,MDV1993,0.0,109042.0,367881.0
6434,MDV1994,2262.0,316974.0,562622.0
6435,MDV1995,0.0,324633.0,457875.0
6436,MDV1996,113525.0,504288.0,562810.0
6437,MDV1997,0.0,285782.0,508128.0
6438,MDV1998,0.0,59025.0,136878.0
6439,MDV1999,0.0,407153.0,758948.0
6440,MDV2000,1885.0,634146.0,770907.0
6441,MDV2001,106.0,1706960.0,1985380.0
6442,MDV2002,0.0,1462082.0,5591547.0
6443,MDV2003,7588.0,509901.0,1649055.0
6444,MDV2004,1708.0,5385281.0,5659911.0
6445,MDV2005,16502.0,7031060.0,7277921.0
6446,MDV2006,361.0,8022830.0,8444414.0
6447,MDV2007,13701.0,4007242.0,7328973.0
6448,MDV2008,0.0,4577896.0,4738540.0
6449,MDV2009,0.0,2009623.0,2030043.0
6450,MDV2010,36939322.0,40642673.0,41801994.0
6451,MDV2011,11640907.0,16980404.0,17521647.0
6452,MDV2012,4872.0,6869345.0,7088879.0
6453,MDV2013,27297.0,3380013.0,3629750.0
6454,MDV2014,295088.0,4444431.0,7457303.0
6455,MDV2015,1292824.0,5728250.0,5936067.0
6456,MDV2016,66736520.0,69054966.0,69745445.0
6457,MEX1962,55939118.34814454,160342186.32684326,362741612.36834717
6458,MEX1963,37186823.78125,224527624.42782593,442615618.27059937
6459,MEX1964,41959422.06225586,206962747.3305359,541545646.7201233
6460,MEX1965,80394491.79345703,269435492.3096924,654718532.2125244
6461,MEX1966,75331832.64794922,263472747.53137207,616798566.2624512
