,eci1,eci2,eci3,gdp_pc,population,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,oil_prod_pc,map,code,year,T,t
126,,,,,2262572.610280853,,,,,,,ARM1970,ARM,1970,12,3
127,,,,,2466091.949810756,,,,,,,ARM1975,ARM,1975,12,4
128,,,,,2613548.292680924,,,,,,,ARM1980,ARM,1980,12,5
129,,,,,2733219.8006860027,,,,,,,ARM1985,ARM,1985,12,6
130,0.015416227026910818,0.2319011085255018,0.18381784651678518,358.3523164108523,2606700.5039375257,0.0006065673056865588,0.015503523168903499,0.015569902208666482,0.0,0.10297959218884523,1.8637731976697536e-11,ARM1990,ARM,1990,12,7
131,-0.19322264342241574,-0.00263700246310728,-0.09141883035737516,385.0080433459573,2249140.066673341,0.0024723728669068983,0.03677718670889537,0.039478049686686924,0.0,0.30010390803024656,0.0,ARM1995,ARM,1995,12,8
132,-0.2203043354011356,0.044683609364651745,0.0507123441733229,548.5270170600693,1970973.100258922,0.0001251680702132158,0.06766582150383998,0.07084898768573772,0.0,0.3396566156275666,0.0,ARM2000,ARM,2000,12,9
133,-0.24293743525691033,-0.22794901948396842,-0.18850236511126095,1518.077221293358,1597025.834268321,4.848786194506885e-05,0.04485890148533606,0.047167299295612516,0.0,0.7553513286699206,0.0,ARM2005,ARM,2005,12,10
134,-0.2297252794919227,-0.29135124024281617,-0.3071316989209994,1291.775772898241,1020676.3238628814,0.0001478966969018704,0.024126188206721706,0.026319951653891064,0.0,1.2709095507043704,0.0,ARM2010,ARM,2010,12,11
135,,,,,,,,,,,,ARM2015,ARM,2015,12,12
136,,,,,18640.403674803547,,,,,,,ASM1960,ASM,1960,12,1
137,,,,,21748.655017526376,,,,,,,ASM1965,ASM,1965,12,2
138,,,,,24282.839222888244,,,,,,,ASM1970,ASM,1970,12,3
139,,,,,25764.582656865783,,,,,,,ASM1975,ASM,1975,12,4
140,,,,,28571.108722536475,,,,,,0.0,ASM1980,ASM,1980,12,5
141,,,,,33673.61124489303,,,,,,0.0,ASM1985,ASM,1985,12,6
142,,,,,37660.338037971196,,,,,,0.0,ASM1990,ASM,1990,12,7
143,,,,,39270.21936881534,,,,,,0.0,ASM1995,ASM,1995,12,8
144,0.39237300339796083,0.4008450286654405,0.4224189763034194,5695.3296422596195,38036.87496469708,0.0005270220726609011,0.002970837182242214,0.005877119547379444,0.0,0.0,0.0,ASM2000,ASM,2000,12,9
145,0.05736239286825172,0.44161444277561535,0.3959071724400402,5212.095292892851,31454.496551238135,0.00020892004794662602,0.023149317458259374,0.02351430695401807,0.0,0.0,0.0,ASM2005,ASM,2005,12,10
