,res_rents,map
544,0.7461739640925591,ECA1973
545,1.1328798869718302,ECA1974
546,0.881040426326213,ECA1975
547,0.911760518076208,ECA1976
548,0.7953892019311429,ECA1977
549,0.7963298569805219,ECA1978
550,0.8198488135549399,ECA1979
551,1.40621208021494,ECA1980
552,1.49212025678764,ECA1981
553,1.42346579479735,ECA1982
554,1.15100234275103,ECA1983
555,1.40459807528488,ECA1984
556,1.41842298458559,ECA1985
557,0.8249374832610621,ECA1986
558,2.30583716532478,ECA1987
559,4.852595856893362,ECA1988
560,7.03274174594808,ECA1989
561,8.97203208614237,ECA1990
562,5.244168255812808,ECA1991
563,5.60671914481226,ECA1992
564,4.93429351648796,ECA1993
565,4.58553462872335,ECA1994
566,4.7510150227090095,ECA1995
567,5.82301223380509,ECA1996
568,4.77024543198404,ECA1997
569,1.87203250375834,ECA1998
570,4.24275232673242,ECA1999
571,10.232982177955499,ECA2000
572,11.315168508921499,ECA2001
573,9.68770399543674,ECA2002
574,9.5802932572232,ECA2003
575,9.79607497099383,ECA2004
576,10.7293529845955,ECA2005
577,12.2338946030968,ECA2006
578,11.1505883860806,ECA2007
579,13.294106726867499,ECA2008
580,9.85065762863278,ECA2009
581,10.8772422879037,ECA2010
582,13.173695201569,ECA2011
583,11.789687510762999,ECA2012
584,10.209981820250501,ECA2013
585,9.24830919540568,ECA2014
586,6.31874017658017,ECA2015
587,5.35777507429211,ECA2016
588,7.02606739533896,ECA2017
589,,ECA2018
590,,TEC1960
591,,TEC1961
592,,TEC1962
593,,TEC1963
594,,TEC1964
595,,TEC1965
596,,TEC1966
597,,TEC1967
598,,TEC1968
599,,TEC1969
600,0.6732895305096249,TEC1970
601,0.6278486365289571,TEC1971
602,0.542084873649732,TEC1972
603,0.7461739640925591,TEC1973
604,1.1328798869718302,TEC1974
605,0.881040426326213,TEC1975
606,0.911760518076208,TEC1976
607,0.7953892019311429,TEC1977
608,0.7963298569805219,TEC1978
609,0.8198488135549399,TEC1979
610,1.40621208021494,TEC1980
611,1.49212025678764,TEC1981
612,1.42346579479735,TEC1982
613,1.15100234275103,TEC1983
614,1.40459807528488,TEC1984
615,1.41842298458559,TEC1985
616,0.8249374832610621,TEC1986
617,2.30583716532478,TEC1987
618,4.852595856893362,TEC1988
619,7.03274174594808,TEC1989
620,8.59173294476794,TEC1990
621,4.977524697031152,TEC1991
622,5.20177937644926,TEC1992
623,4.53424521822724,TEC1993
624,4.088993655339641,TEC1994
625,4.09700654562279,TEC1995
626,4.86178970240803,TEC1996
627,4.02698008176263,TEC1997
628,1.57956490235225,TEC1998
629,3.3481997105855204,TEC1999
630,8.162280820414539,TEC2000
631,8.86155991886808,TEC2001
632,7.68799276673805,TEC2002
633,7.78997990910435,TEC2003
634,8.26933214133073,TEC2004
635,9.09467081875972,TEC2005
636,10.542242088556101,TEC2006
637,9.64960961586048,TEC2007
638,11.5695156557178,TEC2008
639,8.44948874162179,TEC2009
640,9.496507194987279,TEC2010
641,11.668136161479499,TEC2011
642,10.541501202387199,TEC2012
643,9.12275425247684,TEC2013
644,8.16440998090886,TEC2014
645,5.51661540832461,TEC2015
646,4.6706177828984,TEC2016
647,6.112597850120848,TEC2017
648,,TEC2018
649,,EUU1960
650,,EUU1961
651,,EUU1962
652,,EUU1963
653,,EUU1964
654,,EUU1965
655,,EUU1966
656,,EUU1967
657,,EUU1968
658,,EUU1969
659,0.208068893256599,EUU1970
660,0.19696277729277695,EUU1971
661,0.17649533590197694,EUU1972
662,0.224740268178141,EUU1973
