,gdp,map
838,246804571.428571,BDI1972
839,304339839.552146,BDI1973
840,345263492.063492,BDI1974
841,420986666.666667,BDI1975
842,448412753.62318796,BDI1976
843,547535555.5555559,BDI1977
844,610225555.5555559,BDI1978
845,782496666.666667,BDI1979
846,919726666.666667,BDI1980
847,969046666.666667,BDI1981
848,1013222222.22222,BDI1982
849,1082926304.4647698,BDI1983
850,987143931.166987,BDI1984
851,1149979285.77347,BDI1985
852,1201725497.0657802,BDI1986
853,1131466494.01101,BDI1987
854,1082403219.48787,BDI1988
855,1113924130.41149,BDI1989
856,1132101252.5181699,BDI1990
857,1167398478.3459,BDI1991
858,1083037670.60484,BDI1992
859,938632612.026359,BDI1993
860,925030590.1536831,BDI1994
861,1000428393.8852801,BDI1995
862,869033856.317093,BDI1996
863,972896267.915425,BDI1997
864,893770806.077641,BDI1998
865,808077223.365746,BDI1999
866,870486065.883137,BDI2000
867,876794723.068586,BDI2001
868,825394490.159111,BDI2002
869,784654423.620476,BDI2003
870,915257323.3961,BDI2004
871,1117113045.65222,BDI2005
872,1273375020.26862,BDI2006
873,1356199364.85882,BDI2007
874,1611835901.9063,BDI2008
875,1781455092.0711398,BDI2009
876,2032135246.5000398,BDI2010
877,2235820867.8274302,BDI2011
878,2333308099.46249,BDI2012
879,2451625332.74584,BDI2013
880,2705783272.07443,BDI2014
881,3104394858.11518,BDI2015
882,2959185295.3901896,BDI2016
883,3172416146.3921,BDI2017
884,,BDI2018
885,11658722590.99,BEL1960
886,12400145221.595,BEL1961
887,13264015675.3193,BEL1962
888,14260017387.0492,BEL1963
889,15960106680.6732,BEL1964
890,17371457607.9374,BEL1965
891,18651883472.4808,BEL1966
892,19992040788.4593,BEL1967
893,21376353113.475,BEL1968
894,23710735894.7022,BEL1969
895,26849148285.599,BEL1970
896,29981290025.4913,BEL1971
897,37408591329.8506,BEL1972
898,47999363071.8278,BEL1973
899,56333010459.8177,BEL1974
900,66029748930.5693,BEL1975
901,71494539498.4326,BEL1976
902,83283328418.6832,BEL1977
903,101788475086.461,BEL1978
904,116938066868.465,BEL1979
905,127508202372.741,BEL1980
906,105290614080.834,BEL1981
907,92588895020.3073,BEL1982
908,87650915976.3314,BEL1983
909,83795680815.4147,BEL1984
910,86730038793.3963,BEL1985
911,120661220335.922,BEL1986
912,150194077687.736,BEL1987
913,163167853538.124,BEL1988
914,165100094594.595,BEL1989
915,206430841501.69,BEL1990
916,211637816538.689,BEL1991
917,236038384441.656,BEL1992
918,225924679920.70898,BEL1993
919,246194938750.904,BEL1994
920,289567323481.117,BEL1995
921,281358175895.766,BEL1996
922,254813599458.728,BEL1997
923,260601911535.897,BEL1998
924,260202429149.798,BEL1999
925,237904919845.21802,BEL2000
926,237841968680.09,BEL2001
927,258860436664.784,BEL2002
928,319002821670.42896,BEL2003
929,370885026074.0,BEL2004
930,387365750528.541,BEL2005
931,409813197842.178,BEL2006
932,471821105940.323,BEL2007
933,518625897172.99,BEL2008
934,484552792442.345,BEL2009
935,483548031197.108,BEL2010
936,527008453886.92896,BEL2011
937,497884216568.867,BEL2012
938,520925468952.938,BEL2013
939,530808391525.11,BEL2014
940,455837758493.34796,BEL2015
941,469738715754.105,BEL2016
942,494763551890.776,BEL2017
943,,BEL2018
944,226195579.35701,BEN1960
945,235668222.42998397,BEN1961
