,eci1,res_exp1_to_gdp,gdp_pc,population,eci1_t1,eci1_hat_t1,t,code
1516,-0.19818917396071506,0.3357930811909261,16947.445062820818,203938.63720874468,-0.17960720852066486,0.9643556255259514,10,BRN
1517,0.28476167140967595,0.2102461067398968,15278.055731462595,141410.25466084492,-0.19818917396071506,0.28612226531133234,11,BRN
1521,0.0906047803455748,1.0945656411941583e-05,290.25236765311945,352959.49788675545,0.4166859307600803,0.3816696831240629,5,BTN
1522,0.6057303972691636,0.0,374.669386132704,396478.0137911162,0.0906047803455748,0.2818517741622327,6,BTN
1523,0.3717040814239169,1.580711480245794e-05,375.6747451050062,402531.8055262322,0.6057303972691636,0.1678448818188411,7,BTN
1524,0.14223109080272858,0.0008086696901498174,477.5424268293389,381041.8683928764,0.3717040814239169,0.3479468922456244,8,BTN
1525,0.4414427201668244,6.160515851843647e-05,591.6649656610421,394015.27485091455,0.14223109080272858,0.2661248888511506,9,BTN
1526,0.06310284973931744,1.1346042999558164e-05,858.8538818444882,373545.33504885115,0.4414427201668244,0.1858948525420596,10,BTN
1527,-0.14878818822008325,5.7735750052121177e-05,843.7660007484865,266050.8356097478,0.06310284973931744,0.29050742512848715,11,BTN
1540,-0.6255674353485794,0.0030558384355479197,105.03720859356936,1623270.6269463615,-0.7076316775977576,-0.5130929690771491,3,CAF
1541,-0.5646646655991718,7.281720251832352e-07,208.68642039181148,1771820.2775979387,-0.6255674353485794,-0.5692670919800855,4,CAF
1542,-0.5415590597744437,0.0,240.27924538738648,1981460.148170409,-0.5646646655991718,-0.5337592981465058,5,CAF
1543,-0.6452886271689566,0.00010663789415841557,326.89094342156864,2185681.9109836663,-0.5415590597744437,-0.5074077114762761,6,CAF
1544,-0.3211370742596954,8.170004873850723e-06,314.25704127623163,2358113.4261655537,-0.6452886271689566,-0.4974103110794837,7,CAF
1545,-0.5662145977756798,9.555878638082043e-06,205.12570620145604,2515814.7500909455,-0.3211370742596954,-0.542292320497266,8,CAF
1546,-0.3706525773019267,0.0002549567439274534,174.05419458168998,2537216.5359099847,-0.5662145977756798,-0.4020374884769039,9,CAF
1547,-0.38497436191408696,4.589809078231215e-06,215.05734672640773,2324847.0761899184,-0.3706525773019267,-0.5080783406159735,10,CAF
1548,-0.1987762450892839,5.3184679682206875e-06,150.95013467980758,1586050.3389856848,-0.38497436191408696,-0.4234619996330664,11,CAF
1551,0.6413888666908298,0.013689483958460721,4570.280321139787,18802143.05306578,0.5718326044642993,0.3591364304677436,3,CAN
1552,0.2914337283385069,0.018887893270850286,7420.942402199716,19918160.936079305,0.6413888666908298,0.4685041390904474,4,CAN
1553,0.5524161115055446,0.022313088713148282,10325.632538595772,20601822.81052266,0.2914337283385069,0.5152832609373114,5,CAN
1554,0.4784261964285788,0.014370805687170812,13365.503224449607,21103936.914301053,0.5524161115055446,0.2799256736563309,6,CAN
1555,0.2184235547059629,0.014587194927968866,15774.983839880068,21669668.497975007,0.4784261964285788,0.4554458397960106,7,CAN
1556,0.26057483006403737,0.018797257511159758,15253.333610846244,21431935.201533694,0.2184235547059629,0.4056849247895066,8,CAN
1557,0.17944590614588934,0.028373851481888743,17164.916520305123,20379907.35938402,0.26057483006403737,0.2308236704852237,9,CAN
1558,0.10613108644283877,0.03146661645264249,22697.582154238607,17924252.998414386,0.17944590614588934,0.259171939682817,10,CAN
1559,0.03381566735209335,0.02125704709620485,18036.73167375111,12288548.322813498,0.10613108644283877,0.2046097809959111,11,CAN
1573,1.7552310951793524,0.0006259094406246263,14291.675933564346,5226113.254415243,1.86394638036737,1.933782555529103,5,CHE
1574,1.57683529791198,0.0005056485006129948,20967.63944303896,5199388.698136819,1.7552310951793524,1.6767451829604798,6,CHE
1575,0.9533406871793468,0.00045707475891224806,29867.10288419012,5222066.130879938,1.57683529791198,1.5761828707220946,7,CHE
1576,1.4861398343076426,0.0005754933395805897,31174.11668676073,5073968.821236816,0.9533406871793468,1.4111656531726862,8,CHE
1577,1.2756002852907482,0.0009334230659414613,28476.401102339005,4732068.851088867,1.4861398343076426,0.8344292759925247,9,CHE
1578,0.9793067429843751,0.0012929009037709446,34674.185109743965,4122074.4972491837,1.2756002852907482,1.3272717875234266,10,CHE
1579,0.5060056083887434,0.0011842579179935698,29576.693228200762,2829287.1787241483,0.9793067429843751,1.132521400490461,11,CHE
1582,-0.197870454874842,0.00036572620296413186,1112.0422138741285,8468984.351795977,-0.2471294203760851,-0.216238833195871,3,CHL
1583,-0.4416937278661629,0.0017051792967788975,1077.8149144488848,9022714.37393464,-0.197870454874842,-0.2738195205429656,4,CHL
1584,-0.4696828555432786,0.0009760591379495043,1823.1067743079675,9511545.311657943,-0.4416937278661629,-0.26214065846124485,5,CHL
1585,-0.332411439077837,0.0005649476740249808,1440.0213961884297,9997921.152778693,-0.4696828555432786,-0.31994898530293475,6,CHL
