,gdp_cons,map
589,,ASM2018
590,,ATG1960
591,,ATG1961
592,,ATG1962
593,,ATG1963
594,,ATG1964
595,,ATG1965
596,,ATG1966
597,,ATG1967
598,,ATG1968
599,,ATG1969
600,,ATG1970
601,,ATG1971
602,,ATG1972
603,,ATG1973
604,,ATG1974
605,,ATG1975
606,,ATG1976
607,322802898.459373,ATG1977
608,336953376.445599,ATG1978
609,364178351.16567796,ATG1979
610,393900515.273646,ATG1980
611,408927489.70697004,ATG1981
612,408583940.465355,ATG1982
613,430500449.51961297,ATG1983
614,474260801.249058,ATG1984
615,510512318.01003206,ATG1985
616,569189728.6472,ATG1986
617,606906339.504582,ATG1987
618,638546023.2305111,ATG1988
619,672084214.176124,ATG1989
620,692325015.979788,ATG1990
621,707396041.086395,ATG1991
622,715590008.373552,ATG1992
623,753373678.194651,ATG1993
624,803670388.310695,ATG1994
625,768634417.980132,ATG1995
626,819401313.652525,ATG1996
627,864231854.192054,ATG1997
628,905121377.954157,ATG1998
629,938682324.49255,ATG1999
630,1001496498.43775,ATG2000
631,951881606.627174,ATG2001
632,961629833.390877,ATG2002
633,1019884488.6545401,ATG2003
634,1078389759.3889,ATG2004
635,1147540484.1489198,ATG2005
636,1293605271.42034,ATG2006
637,1413385625.5655801,ATG2007
638,1412959729.93684,ATG2008
639,1241885106.24758,ATG2009
640,1152469068.5185199,ATG2010
641,1128507775.4842,ATG2011
642,1168080145.02604,ATG2012
643,1166866906.03994,ATG2013
644,1221221065.34845,ATG2014
645,1270384239.04835,ATG2015
646,1341395404.02289,ATG2016
647,1382074643.03003,ATG2017
648,,ATG2018
649,199233335311.047,AUS1960
650,204185489129.557,AUS1961
651,206832708442.16,AUS1962
652,219685868796.25897,AUS1963
653,235017138629.724,AUS1964
654,249079271685.863,AUS1965
655,255013563382.02103,AUS1966
656,271085501763.945,AUS1967
657,284899661266.538,AUS1968
658,304968445514.788,AUS1969
659,326841338993.587,AUS1970
660,339927838396.432,AUS1971
661,353228164174.95795,AUS1972
662,362460910647.29297,AUS1973
663,377331193579.577,AUS1974
664,382426440333.90295,AUS1975
665,392323430718.52203,AUS1976
666,406436784541.459,AUS1977
667,410081589264.555,AUS1978
668,426663296230.325,AUS1979
669,439609141781.48706,AUS1980
670,454282671927.02295,AUS1981
671,469401741440.896,AUS1982
672,458980347967.632,AUS1983
673,480006879252.198,AUS1984
674,505203431376.55,AUS1985
675,525690112039.628,AUS1986
676,538860353331.04706,AUS1987
677,569473298287.268,AUS1988
678,591498228010.3721,AUS1989
679,612582484286.0911,AUS1990
680,610208442396.41,AUS1991
681,612909321559.945,AUS1992
682,637665212484.2261,AUS1993
683,663034939582.038,AUS1994
684,688424992380.96,AUS1995
685,715126459415.518,AUS1996
686,743491381828.9409,AUS1997
687,777519044571.69,AUS1998
688,816535447394.947,AUS1999
689,848732984009.725,AUS2000
690,865139889945.9459,AUS2001
691,899771632525.692,AUS2002
692,926636518197.177,AUS2003
693,963712223078.423,AUS2004
694,994457691605.8829,AUS2005
695,1022642934821.49,AUS2006
696,1061271523267.56,AUS2007
697,1100090360276.03,AUS2008
698,1121242097879.43,AUS2009
699,1144260547872.81,AUS2010
700,1172307576320.87,AUS2011
701,1217933084117.14,AUS2012
702,1250080212993.17,AUS2013
703,1282061484148.13,AUS2014
704,1312204498894.69,AUS2015
705,1349304594617.26,AUS2016
706,1375718249724.1,AUS2017
707,,AUS2018
708,91836703339.5229,AUT1960
709,96922600975.7382,AUT1961
710,99489765786.6089,AUT1962
711,103606918511.136,AUT1963
712,109952172697.415,AUT1964
713,113778700633.42099,AUT1965
714,120199075025.325,AUT1966
715,123814720654.54599,AUT1967
716,129352102232.94801,AUT1968
